"Usage","ID","NomSize","Grade","fisWidth","fisDepth","fisLength","mmWidth","mmDepth","mmLength","Qty-Stk","Qty-Ord","$Each","File"
"Rf","194","2x6x18ft","SYP","1in8sx","5in8sx","18ft","38.1","139.7","5486.4","","","",""
"Rf","195","2x6x20ft","SYP","1in8sx","5in8sx","20ft","38.1","139.7","6096","","","",""
"Rf","196","2x6x22ft","SYP","1in8sx","5in8sx","22ft","38.1","139.7","6705.6","","","",""
"Rf","197","2x8x14ft","SYP","1in8sx","7in4sx","14ft","38.1","184.15","4267.2","","","",""
"Rf","198","2x8x20ft","SYP","1in8sx","7in4sx","20ft","38.1","184.15","6096","","","",""
"Rf","199","2x10x14ft","SYP","1in8sx","9in4sx","14ft","38.1","234.95","4267.2","","","",""
"Rf","200","2x10x16ft","SYP","1in8sx","9in4sx","16ft","38.1","234.95","4876.8","","","",""
"Rf","201","2x12x14ft","SYP","1in8sx","11in4sx","14ft","38.1","285.75","4267.2","","","",""
"Rf","202","2x12x16ft","SYP","1in8sx","11in4sx","16ft","38.1","285.75","4876.8","","","",""
"Rf","203","2x12x18ft","SYP","1in8sx","11in4sx","18ft","38.1","285.75","5486.4","","","",""
"Bm Pst","205","3-1/2x5-1/4x22ft","V-Lam","3in8sx","5in4sx","22ft","88.9","133.35","6705.6","","","",""
"Bm Pst","207","3-1/2x7x22ft","V-Lam","3in8sx","7in","22ft","88.9","177.8","6705.6","","","",""
"Bm Pst","208","3-1/2x9-1/2x22ft","V-Lam","3in8sx","9in8sx","22ft","88.9","241.3","6705.6","","","",""
"Bm Pst","209","3-1/2x11-7/8x22ft","V-Lam","3in8sx","11in14sx","22ft","88.9","301.625","6705.6","","","",""
"Bm Pst","210","3-1/2x14x22ft","V-Lam","3in8sx","14in","22ft","88.9","355.6","6705.6","","","",""
"Wl Brc","227","WB12","Wall Strap Brace","1sx","8sx","12ft","1.5875","12.7","3657.6","","","",""
"Wl Brc","228","WB106c","Wall Strap Brace","1sx","8sx","106in","1.5875","12.7","2692.4","","","",""
"Wl Brc","229","WB126c","Wall Strap Brace","1sx","8sx","126in","1.5875","12.7","3200.4","","","",""
"Wl Brc","230","WB143c","Wall Strap Brace","1sx","8sx","143in","1.5875","12.7","3632.2","","","",""
